link_id,from_node_id,to_node_id,length,geometry
1020,442,443,341.4143149,"LINESTRING (-109.943084 34.312079, -109.939367 34.312118)"
1021,443,442,341.4143149,"LINESTRING (-109.939367 34.312118, -109.943084 34.312079)"
1022,443,401,234.6809408,"LINESTRING (-109.939367 34.312118, -109.936812 34.312144)"
1023,401,443,234.6809408,"LINESTRING (-109.936812 34.312144, -109.939367 34.312118)"
1024,444,445,346.2848596,"LINESTRING (-109.940291 34.353533, -109.939517 34.356579)"
1025,445,444,346.2848596,"LINESTRING (-109.939517 34.356579, -109.940291 34.353533)"
1026,442,448,403.8935525,"LINESTRING (-109.943084 34.312079, -109.943137 34.315703)"
1027,448,442,403.8935525,"LINESTRING (-109.943137 34.315703, -109.943084 34.312079)"
1028,449,424,983.360452,"LINESTRING (-109.918807 34.330401, -109.908161 34.330582)"
1029,424,449,983.360452,"LINESTRING (-109.908161 34.330582, -109.918807 34.330401)"
1030,424,419,981.9848079,"LINESTRING (-109.908161 34.330582, -109.897468 34.330712)"
1031,419,424,981.9848079,"LINESTRING (-109.897468 34.330712, -109.908161 34.330582)"
1032,450,267,212.4896521,"LINESTRING (-109.8511777 34.2227923, -109.8488981 34.2230066)"
1033,267,450,212.4896521,"LINESTRING (-109.8488981 34.2230066, -109.8511777 34.2227923)"
1034,446,451,253.2004135,"LINESTRING (-109.9576593 34.3168453, -109.9550039 34.3174009)"
1035,451,446,253.2004135,"LINESTRING (-109.9550039 34.3174009, -109.9576593 34.3168453)"
1036,452,399,793.4613318,"LINESTRING (-109.945724 34.3066347, -109.9370857 34.3066945)"
1037,399,452,793.4613318,"LINESTRING (-109.9370857 34.3066945, -109.945724 34.3066347)"
1038,453,452,201.6559766,"LINESTRING (-109.9457594 34.3048214, -109.945724 34.3066347)"
1039,452,453,201.6559766,"LINESTRING (-109.945724 34.3066347, -109.9457594 34.3048214)"
1040,452,454,203.1433739,"LINESTRING (-109.945724 34.3066347, -109.9457321 34.3084616)"
1041,454,452,203.1433739,"LINESTRING (-109.9457321 34.3084616, -109.945724 34.3066347)"
1042,455,428,1936.771537,"LINESTRING (-109.936291 34.329842, -109.9571261 34.3304972)"
1043,428,455,1936.771537,"LINESTRING (-109.9571261 34.3304972, -109.936291 34.329842)"
1044,457,458,63.41431578,"LINESTRING (-109.956993 34.325496, -109.956303 34.325519)"
1045,458,457,63.41431578,"LINESTRING (-109.956303 34.325519, -109.956993 34.325496)"
1046,401,459,815.0299454,"LINESTRING (-109.936812 34.312144, -109.936618 34.319336)"
1047,459,401,815.0299454,"LINESTRING (-109.936618 34.319336, -109.936812 34.312144)"
1048,459,433,815.754646,"LINESTRING (-109.936618 34.319336, -109.936425 34.326666)"
1049,433,459,815.754646,"LINESTRING (-109.936425 34.326666, -109.936618 34.319336)"
1050,433,455,353.3693877,"LINESTRING (-109.936425 34.326666, -109.936291 34.329842)"
